model_class,model_name,framework,phase,requested_block_size,effective_block_size,input_tokens,output_tokens,batch_size,kv_cache_type,warmup_runs,measured_runs,mean_generation_latency_ms,median_generation_latency_ms,p95_generation_latency_ms,minimum_generation_latency_ms,maximum_generation_latency_ms,output_tps,average_latency_per_token_ms,recommended_block_size,is_recommended,rank_by_median,margin_over_runner_up_pct,recommended_p95_not_worse,recommendation_stable,result_file
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,auto,256,128,128,1,SLAB_POOL,2,10,1390.1059624738991,1389.3148934002966,1394.3513601785526,1387.54693698138,1394.4288468919694,92.07931154557821,5.4301014159136685,32,False,5,0.142,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_bauto_i128_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it128_nt128_20260720_210202_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,64,64,128,128,1,SLAB_POOL,2,10,1394.5665755774826,1394.5735800080001,1397.134441533126,1391.836579889059,1397.3642932251096,91.78478979893512,5.447525685849541,32,False,4,0.142,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b64_i128_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it128_nt128_20260720_210231_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,256,256,128,128,1,SLAB_POOL,2,10,1407.1486255619675,1406.9033979903907,1409.9868739722297,1403.7952492944896,1411.0781862400472,90.9640941083115,5.4966743186014355,32,False,5,0.142,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b256_i128_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it128_nt128_20260720_210301_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,128,128,128,128,1,SLAB_POOL,2,10,1394.6138058323413,1394.3623593077064,1397.6260680006817,1391.5290986187756,1397.9847109876573,91.78168139788801,5.447710179032583,32,False,3,0.142,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b128_i128_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it128_nt128_20260720_210331_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,32,32,128,128,1,SLAB_POOL,2,10,1390.5250667594373,1390.0719247758389,1393.9527834765613,1387.8267989493906,1396.404325030744,92.05155883906419,5.431738542029052,32,True,1,0.142,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b32_i128_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it128_nt128_20260720_210359_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,16,16,128,128,1,SLAB_POOL,2,10,1391.8768403586,1392.0394771266729,1394.2780097248033,1389.30305512622,1394.9134047143161,91.9621595018582,5.437018907650781,32,False,2,0.142,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b16_i128_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it128_nt128_20260720_210428_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,auto,256,512,128,1,SLAB_POOL,2,10,1490.8253530971706,1490.3003699146211,1493.7490011332557,1488.6281960643828,1494.9175668880343,85.85848083015334,2.329414614214329,256,False,1,0.296,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_bauto_i512_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it512_nt128_20260720_210458_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,256,256,512,128,1,SLAB_POOL,2,10,1481.9859702605754,1481.9931201636791,1483.698496920988,1480.0888109020889,1483.7136920541525,86.3705882299911,2.315603078532149,256,True,1,0.296,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b256_i512_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it512_nt128_20260720_210529_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,32,32,512,128,1,SLAB_POOL,2,10,1488.6262545827776,1488.405304029584,1493.4945366811007,1483.738305978477,1493.632737081498,85.9853167347737,2.32597852278559,256,False,4,0.296,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b32_i512_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it512_nt128_20260720_210559_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,64,64,512,128,1,SLAB_POOL,2,10,1489.3394953105599,1490.6063009984791,1492.6193999825045,1483.1548589281738,1492.6206306554377,85.94413859501469,2.32709296142275,256,False,5,0.296,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b64_i512_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it512_nt128_20260720_210630_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,16,16,512,128,1,SLAB_POOL,2,10,1484.898398630321,1486.3751488737762,1489.0421654097736,1478.532605804503,1489.1539188101888,86.20118394502138,2.3201537478598766,256,False,2,0.296,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b16_i512_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it512_nt128_20260720_210700_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,128,128,512,128,1,SLAB_POOL,2,10,1486.4047202747315,1486.4863811526448,1490.3058735420927,1481.9482429884374,1492.2174774110317,86.113827717354,2.322507375429268,256,False,3,0.296,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b128_i512_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it512_nt128_20260720_210730_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,32,32,2048,128,1,SLAB_POOL,2,10,1860.1020690053701,1861.5161420311779,1869.789751409553,1850.643988698721,1869.8190958239138,68.81342810851444,0.8548263184767325,128,False,5,0.312,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b32_i2048_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it2048_nt128_20260720_210804_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,256,256,2048,128,1,SLAB_POOL,2,10,1851.3425547629595,1851.8901001662016,1860.6997676426545,1839.0273922123015,1864.1618806868792,69.1390146413983,0.8508008064168012,128,False,4,0.312,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b256_i2048_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it2048_nt128_20260720_210839_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,16,16,2048,128,1,SLAB_POOL,2,10,1849.1242106538266,1850.9626949671656,1858.5703903110698,1834.5643603242934,1859.1778660193086,69.22195884003965,0.8497813468078247,128,False,3,0.312,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b16_i2048_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it2048_nt128_20260720_210913_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,auto,256,2048,128,1,SLAB_POOL,2,10,1827.2960686590523,1826.3862270396203,1835.1475681411102,1818.9959488809109,1836.092681158334,70.04885644718311,0.8397500315528733,128,False,4,0.312,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_bauto_i2048_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it2048_nt128_20260720_210947_results.json
SLM,Qwen/Qwen2.5-0.5B,pace,decode_generation,64,64,2048,128,1,SLAB_POOL,2,10,1846.4847028721124,1845.0511798728257,1855.0786799518391,1839.162906166166,1855.6103082373738,69.3209100518962,0.8485683377169634,128,False,2,0.312,True,False,/data/scratch/deveshisingh/pace-block-size/results/7056/raw/SLM_b64_i2048_o128_n1_pace/pace_Qwen--Qwen2.5-0.5B_torch.bfloat16_bs1_it2048_nt128_20260720_211022_results.json
